--------------------------------------------
PID= 1 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:27:34 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 1 -Linea: 5
PID= 8 |Tipo= Writer | Fecha y hora= 2023-05-22 16:27:37 | Accion= Escribiendo | Mensaje= 5
PID= 7 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:27:42 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 7 -Linea: 7
PID= 8 |Tipo= Writer | Fecha y hora= 2023-05-22 16:27:45 | Accion= Escribiendo | Mensaje= 7
PID= 11 |Tipo= Writer | Fecha y hora= 2023-05-22 16:27:48 | Accion= Escribiendo | Mensaje= 17
PID= 2 |Tipo= Writer | Fecha y hora= 2023-05-22 16:27:51 | Accion= Escribiendo | Mensaje= 18
PID= 1 |Tipo= Writer | Fecha y hora= 2023-05-22 16:27:54 | Accion= Escribiendo | Mensaje= 19
PID= 9 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:27:59 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 9 -Linea: 2
PID= 4 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:28:04 | Accion= Borrando | Mensaje= La línea esta vacía
PID= 4 |Tipo= Writer | Fecha y hora= 2023-05-22 16:28:07 | Accion= Escribiendo | Mensaje= 2
PID= 3 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:28:12 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 3 -Linea: 5
PID= 1 |Tipo= Reader | Fecha y hora= 2023-05-22 16:28:17 | Accion= Leyendo | Mensaje=  -Linea: 2 -PID: 4 -Hora y fecha: 2023-05-22 16:28:07
PID= 2 |Tipo= Reader | Fecha y hora= 2023-05-22 16:28:17 | Accion= Leyendo | Mensaje=  -Linea: 2 -PID: 4 -Hora y fecha: 2023-05-22 16:28:07
PID= 8 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:28:22 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 8 -Linea: 0
PID= 7 |Tipo= Writer | Fecha y hora= 2023-05-22 16:28:25 | Accion= Escribiendo | Mensaje= 0
PID= 5 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:28:30 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 5 -Linea: 15
PID= 10 |Tipo= Writer | Fecha y hora= 2023-05-22 16:28:33 | Accion= Escribiendo | Mensaje= 5
PID= 2 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:28:38 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 2 -Linea: 6
PID= 3 |Tipo= Writer | Fecha y hora= 2023-05-22 16:28:41 | Accion= Escribiendo | Mensaje= 6
PID= 10 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:28:46 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 10 -Linea: 11
PID= 5 |Tipo= Writer | Fecha y hora= 2023-05-22 16:28:49 | Accion= Escribiendo | Mensaje= 11
PID= 9 |Tipo= Writer | Fecha y hora= 2023-05-22 16:28:52 | Accion= Escribiendo | Mensaje= 15
PID= 6 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:28:57 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 6 -Linea: 8
PID= 9 |Tipo= Writer | Fecha y hora= 2023-05-22 16:29:00 | Accion= Escribiendo | Mensaje= 8
PID= 1 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:29:05 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 1 -Linea: 8
PID= 8 |Tipo= Writer | Fecha y hora= 2023-05-22 16:29:08 | Accion= Escribiendo | Mensaje= 8
PID= 7 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:29:13 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 7 -Linea: 1
PID= 11 |Tipo= Writer | Fecha y hora= 2023-05-22 16:29:16 | Accion= Escribiendo | Mensaje= 1
PID= 2 |Tipo= Writer | Fecha y hora= 2023-05-22 16:29:16 | Accion= Error al escribir (Lineas llenas) | Mensaje= 
PID= 1 |Tipo= Writer | Fecha y hora= 2023-05-22 16:29:16 | Accion= Error al escribir (Lineas llenas) | Mensaje= 
PID= 9 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:29:21 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 9 -Linea: 15
PID= 4 |Tipo= Writer | Fecha y hora= 2023-05-22 16:29:24 | Accion= Escribiendo | Mensaje= 15
